published,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,published,year,quarter,month,profit,content_duration_cat,price_cat
2013-04-04,46010,TechniTrader Leading Hybrid Indicator Trading,https://www.udemy.com/leading-hybrid-indicator-trading/,True,20,4117,54,5,Intermediate Level,1.0,Business Finance,2013-04-04,2013,2,April,82340,0 : 1,1:20
2016-03-06,777932,Financial modeling: Build a DCF equity valuation model,https://www.udemy.com/guide-to-do-a-step-by-step-discounted-cash-flow-valuation/,True,20,1369,17,31,All Levels,1.5,Business Finance,2016-03-06,2016,1,March,27380,1 : 3,1:20
2016-03-23,773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),https://www.udemy.com/cryptoarbitrager-trade-bitcoin-vs-litecoin-with-arbitrage-robot/,True,150,1224,42,14,All Levels,0.55,Business Finance,2016-03-23,2016,1,March,183600,0 : 1,140:170
2014-05-20,221306,Accounting Is Easy (for Beginners),https://www.udemy.com/fundamentals-of-accountancy/,True,20,3870,12,90,All Levels,9.0,Business Finance,2014-05-20,2014,2,May,77400,7 : 12,1:20
2016-05-24,830994,Non Directional Weekly Options Trading System - ETF & Emini,https://www.udemy.com/etf-stock-options-non-directional-weekly-trading-system/,True,200,897,22,21,All Levels,2.0,Business Finance,2016-05-24,2016,2,May,179400,1 : 3,170:200
2016-01-15,723510,The Complete Position Trading Course: Position Trading Stock,https://www.udemy.com/position-trading-course/,True,45,1311,36,5,All Levels,1.0,Business Finance,2016-01-15,2016,1,January,58995,0 : 1,20:50
2015-03-03,411778,Basics of investing in Mutual Funds,https://www.udemy.com/mutualfundinvesting/,True,20,1589,26,42,Intermediate Level,1.5,Business Finance,2015-03-03,2015,1,March,31780,1 : 3,1:20
2015-02-19,366514,A Value Investing Approach to the Stock Market,https://www.udemy.com/start-investing-the-right-way/,True,20,1189,12,15,All Levels,1.5,Business Finance,2015-02-19,2015,1,February,23780,1 : 3,1:20
2015-06-19,471588,Learn how to INVEST for huge profits or make it big trading!,https://www.udemy.com/learn-how-to-invest-for-huge-profits-or-make-9k-day-trading/,True,50,701,12,37,All Levels,5.5,Business Finance,2015-06-19,2015,2,June,35050,3 : 7,20:50
2015-02-11,390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",https://www.udemy.com/how-to-fund-your-million-dollar-idea-equity-debt-unfund/,True,50,1105,3,54,Intermediate Level,6.0,Business Finance,2015-02-11,2015,1,February,55250,3 : 7,20:50
2015-09-22,607876,Mastering Candlestick Charting : High Probability Trading,https://www.udemy.com/mastering-candlestick-charting/,True,50,123,16,35,All Levels,2.0,Business Finance,2015-09-22,2015,3,September,6150,1 : 3,20:50
2016-03-18,792216,Stock Technical Analysis with R,https://www.udemy.com/stock-technical-analysis-with-r/,True,50,354,32,49,All Levels,7.0,Business Finance,2016-03-18,2016,1,March,17700,3 : 7,20:50
2013-03-08,45139,"Get to know the VIX Index (aka 'The Fear Index)""",https://www.udemy.com/vix-index/,True,60,727,64,9,All Levels,1.0,Business Finance,2013-03-08,2013,1,March,43620,0 : 1,50:80
